FID;ID_MANANTIAL;LATITUD;LONGITUD;FECHA;CAUDAL;TEMPERATUR;OLOR;CARBONATO_;BICARBONAT;SULFURO_HI;PH_LABORATORIO;CONDUCTIVIDAD;ALCALINIDAD;BICARBON_1;CARBONATOS;SOLIDOS_SO;SOLIDOS_TOTAL;CLORUROS;SULFATOS;NITRATOS;CALCIO;MAGNESIO;ESTRONCIO;SODIO;POTASIO;HIERRO;MANGANESO;ALUMINIO;SILICIO;SILICE;BORO;LITIO;FLUOR;MERCURIO;ZINC;YODURO;BROMURO;NIQUEL;ARSENICO;ANTIMONIO;CESIO;RUBIDIO;DEUTERIO;OXIGENO18;GAS_CARBON;SULFURO__1;METANO;ARGON;NITROGENO;HELIO;HIDROGENO;RADON;PH_IN_SITU;CONDUCTIVIDAD_ELÉCTRICA;AMONIO;OXIGENO;CONSULTABL;OBSERVACIO;DEPOSITOS_;CLASIFICACIÓN;MONOXIDO_C;FOSFATOS;x;y
215;1261;1,23047671;-77,29001454;9/11/2012;0,5;25,2;Ausente;0;2287,988;11;6,55;2527;1875,4;2287,988;0;1550;0;27,12218037;12,85114165;3,580902243;188;178;1,75;179;32;-999;0,5;-999;59,5;127,5;3,1;0,5;-999;0;-999;0;0;0;0;0;0;0;-82,14410741;-12,04458019;0;0;0;0;0;0;0;0;6,55;2527;0;0;1;Anillado en cemento;;Bicarbonatada;0;-999;-77,29001454;1,230476715
216;1262;1,23168868;-77,28878368;9/11/2012;0,3;24,6;Ausente;0;2077,172;11;6,34;2258;1702,6;2077,172;0;1355;0;24,6605111;0,842592405;1,102578752;184;157;1,75;155;23;1;0,5;-999;56;120;2,3;-999;-999;0;-999;0;0;0;0;0;0;0;-82,19277745;-12,17481184;0;0;0;0;0;0;0;0;6,34;2258;0;0;1;Anillado en cemento;;Bicarbonatada;0;-999;-77,28878368;1,231688681
217;1263;1,23185145;-77,28893644;9/11/2012;1;30,5;Ausente;0;2129,876;11;6,28;2349;1745,8;2129,876;0;1406;0;33,5;0,19777157;-999;167;158;1,5;153;22;0,5;0,6;-999;69,2;148,2857143;2,4;-999;-999;0;-999;0;0;0;0;0;0;0;-80,85117705;-11,97399532;0;0;0;0;0;0;0;0;6,28;2349;0;0;1;Anillado en cemento;;Bicarbonatada;0;-999;-77,28893644;1,231851452
218;1001;6,74407359;-72,70357037;8/16/2010;1;32,6;Ausente;0;158,6;0;6,46;287,1;130;158,6;0;0;268;21,55860173;3,608311107;-999;13,276;10,176;0,4;12,536;16,224;7,566;0,251;0;16,22;34,75714286;-999;0;-999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,46;287,1;0;0;1;;No;Bicarbonatada-Sódica;0;-999;-72,70357037;6,744073594
219;1002;5,7571991;-73,10946616;5/2/2001;0;53,7;Ausente;0;2700;0;7;44500;3294;2700;0;0;0;5351;20187;0;90;18;4,8;13525;1500;0,3;1,8;0;30;64,28571429;5,2;18;15,2;0;0;0;0;0;0;0;0;0;-67,1;-6,94;0;0;0;0;0;0;0;0;7;44500;0;0;1;;No;Sulfatada;0;0;-73,10946616;5,757199098
220;1265;1,19232083;-76,88897832;6/27/2013;5,11;25,2;Ausente;30,888;0;0;9,6;175,4;51,48;0;30,888;160;0;2,281818083;17,25033852;-999;2,4;0,3;-999;27,2;1,5;-999;-999;-999;36,44;78,08571429;0,3;-999;0,610650006;0;-999;0;0;0;0;0;0;0;-65,78555946;-10,2660267;0;0;0;0;0;0;0;0;9,71;212,5;0;0;1;Carbonatos como sumatoria de CO3 + OH / El manantial brota desde una fractura con un AZ. De rumbo de 65°;;Sulfatada;0;-999;-76,88897832;1,192320828
221;1003;5,65562516;-74,961477;2/18/2015;0,5;43,1;;0;1234,6278;0,361896;6,5;1360;1011,99;1234,6278;0;1346;1396;357,34;1,1033;2,938;200;24,4;0,966;264,6;16,978;1,317;0,7135;-999;46,88;100,454464;3,1;0,703;0,2932;0;-999;0;0;0;0;0;0;0;-52,55763971;-8,121800641;0;0;0;0;0;0;0;0;6,5;1360;0;0;1;;;Bicarbonatada;0;-999;-74,961477;5,655625155
222;1004;5,50435769;-75,03096486;8/10/2011;1;42;Ausente;0;1927,6;0;6,25;9190;2351,672;1927,6;0;4844;0;2478;2,93;-999;320;102;-999;1440;271;-999;-999;-999;136;291,4285714;0;9,8;0,16;9;0;0;0;0;0;0;0;0;-48,0642701;-5,21612975;0;0;0;0;0;0;0;0;6,25;9190;0;0;1;;Óxidos de Hierro;Clorurada;0;-999;-75,03096486;5,504357687
223;1005;5,57932644;-75,12896226;2/21/2015;0,9;43,6;Ausente;0;937,692;0;6,46;9612;768,6;937,692;0;4882;6578;1450,26;885,49;2,9114;345,8;86,18;10,9;1005,6;138,26;0,436;0,435;-999;42,92;91,968976;5,1;5,467;0,621;0;-999;0;8,2;0;0;0;0;0;-49,32015737;-7,198262953;0;0;0;0;0;0;0;0;6,46;9612;0;0;1;;Óxidos de Hierro;Clorurada;0;-999;-75,12896226;5,579326438
224;1021;4,7439367;-75,13221065;7/1/1982;0;40;Ausente;0;97,6;0;9,32;210;119,072;97,6;48;0;0;12,053;0;0;0,5;0,0492;0;55,2;0,585;0;0;0;23,8;51;0;0,16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,32;210;0;0;1;;No;;0;0;-75,13221065;4,7439367
225;1266;0,87714897;-77,99700569;9/10/2012;0,3;32,9;Leve;0;1652,002;31,1;6,58;3110;1354,1;1652,002;0;2015;0;287,3127241;310,3082856;0,79943739;182;99,2;2;430;31,8;-999;0,4;-999;47,6;102;21,1;1,5;-999;0;-999;0;0;0;0;0;0;0;-66,74808947;-8,397795896;0;0;0;0;0;0;0;0;6,58;3110;0;0;1;;;Bicarbonatada;0;-999;-77,99700569;0,877148972
226;1267;0,80706398;-77,86066989;10/26/2011;1;36;Ausente;0;695,4;0;6,26;1371;570;695,4;0;999;0;70,46133842;195,7030974;-999;85;63,5;1;115,5;23;3,5;0,3;-999;77,1;165,2142857;2,2;-999;0,390946201;-999;-999;0;0;0;0;0;0;0;-89,5664743;-12,42484886;0;0;0;0;0;0;0;0;6,26;1371;0;0;1;;Óxidos de Hierro;Bicarbonatada;0;-999;-77,86066989;0,807063983
227;1268;0,80719979;-77,85990635;4/24/1996;5,8;41;;0;0;0;7;0;0;0;0;0;0;0;0;0;96;70;0;116;29;2,4;0,4;0,2;66;141,4285714;0;0,2;0;0;0,2;0;0;0;0;0;0;0,02;0;0;0;0;0;0;0;0;0;0;7;1500;0;0;1;;;;0;0;-77,85990635;0,807199786
