FID;ID_MANANTIAL;LATITUD;LONGITUD;FECHA;CAUDAL;TEMPERATUR;OLOR;CARBONATO_;BICARBONAT;SULFURO_HI;PH_LABORATORIO;CONDUCTIVIDAD;ALCALINIDAD;BICARBON_1;CARBONATOS;SOLIDOS_SO;SOLIDOS_TOTAL;CLORUROS;SULFATOS;NITRATOS;CALCIO;MAGNESIO;ESTRONCIO;SODIO;POTASIO;HIERRO;MANGANESO;ALUMINIO;SILICIO;SILICE;BORO;LITIO;FLUOR;MERCURIO;ZINC;YODURO;BROMURO;NIQUEL;ARSENICO;ANTIMONIO;CESIO;RUBIDIO;DEUTERIO;OXIGENO18;GAS_CARBON;SULFURO__1;METANO;ARGON;NITROGENO;HELIO;HIDROGENO;RADON;PH_IN_SITU;CONDUCTIVIDAD_ELÉCTRICA;AMONIO;OXIGENO;CONSULTABL;OBSERVACIO;DEPOSITOS_;CLASIFICACIÓN;MONOXIDO_C;FOSFATOS;x;y
303;978;4,40612678;-73,29922395;5/11/2016;0,2;41,6;;0;46,238;0;6,19;108,6;38;46,238;0;55;0;1,0041;9,2154;0,2761;1,444;0,4206;-999;11,778;6,506;3,341;0,1264;-999;9,421;20,15;-999;-999;0,1783;0;-999;0;0;0;0;0;0;0;-44,64;-7,92;0;0;0;0;0;0;0;0;6,19;108,6;0;0;1;;;Bicarbonatada;0;-999;-73,29922395;4,406126776
304;1424;4,82210592;-73,67826152;5/12/2016;0;52,2;;0;447,984;1,14;7,03;1614;367;447,984;0;748;0;200,7;1,3483;-999;24,68;1,158;0,43;257;0,85;0,068;-999;-999;20,82;44,54;0,3;0,215;0,9973;0;0,111;0;0;0;0;0;0;0;-70,19;-10,6;0;0;0;0;0;0;0;0;7,03;1614;0;0;1;;;Bicarbonatada;0;-999;-73,67826152;4,822105923
305;1442;2,1385788;-75,67219702;6/4/2013;0;35,6;;0;26,4;0;5,9;138,2;22;26,4;0;92;0;1,1;41;-999;2,8;1,5;-999;6,1;4,3;11,8;-999;-999;11,1;23,79;-999;0,1;0,5;0;0,1;0;0;0;-999;-999;0;0;-50,31;-8,35;0;0;0;0;0;0;0;0;6,09;138,2;0;0;1;Balance iónico  23% aceptado. Sólidos totales disueltos de 75 mg/l;Óxidos de Hierro;Sulfatada;0;-999;-75,67219702;2,138578804
306;1402;4,54788325;-73,9170793;10/11/2016;0,077;41,5;;0;339,282;12,92;7,25;615,5;278,1;339,282;0;374;0;45,0712;17,441;-999;54,06;10,79;1,54;66,42;7,412;0,2256;0,1319;-999;14,71;31,52;0,2;0,173;0,5848;0;-999;0;0;0;0;0;0;0;-80,24;-12,23;0;0;0;0;0;0;0;0;7,25;615,5;0;0;1;;;Bicarbonatada;0;-999;-73,9170793;4,547883253
307;1403;4,54958348;-73,91764663;10/11/2016;0,08;32,6;;0;443,104;11,71;7,2;865,1;363,2;443,104;0;520;0;92,1522;9,3296;-999;69,54;16,98;2,062;97,78;8,716;0,3798;0,1082;-999;12,22;26,19;0,2;0,2097;0,6481;0;-999;0;0;0;0;0;0;0;-78,46;-12,35;0;0;0;0;0;0;0;0;7,2;865,1;0;0;1;;;Bicarbonatada;0;-999;-73,91764663;4,54958348
308;1404;4,54973731;-73,91807013;10/11/2016;0,364;36,7;;0;437,126;14,87;7,56;825,6;358,3;437,126;0;511;0;64,5478;36,1134;-999;75,1;21,58;1,754;80,16;8,482;-999;0,0951;-999;11,55;24,75;0,3;0,1837;0,5687;0;-999;0;0;0;0;0;0;0;-77,8;-11,31;0;0;0;0;0;0;0;0;7,56;825,6;0;0;1;;;Bicarbonatada;0;-999;-73,91807013;4,549737306
309;1405;4,54981858;-73,91754746;10/11/2016;0,05;25,3;;0;410,286;13,65;7,36;765,4;336,3;410,286;0;458;0;62,3943;23,6279;-999;71,74;18,404;1,929;72,36;7,666;-999;0,1555;-999;10,49;22,48;0,3;0,1794;0,4308;0;-999;0;0;0;0;0;0;0;-76,79;-11,15;0;0;0;0;0;0;0;0;7,36;765,4;0;0;1;;;Bicarbonatada;0;-999;-73,91754746;4,549818578
310;1406;4,55015343;-73,91869182;10/11/2016;0,063;29,1;;0;366,854;13,19;7,25;668,4;300,7;366,854;0;374;0;57,962;-999;1,6625;45,98;13,99;1,894;86,08;7,498;-999;0,0628;-999;10,02;21,47;0,3;0,1375;0,693;0;-999;0;0;0;0;0;0;0;-74,76;-10,87;0;0;0;0;0;0;0;0;7,25;668,4;0;0;1;;;Bicarbonatada;0;-999;-73,91869182;4,550153426
311;1423;5,06289706;-73,52913436;5/8/2016;0;32;;0;356,24;0;7,09;2463;292;356,24;0;1298;0;544;-999;-999;116,38;4,22;5,312;392;2,806;-999;0,092;-999;22,85;48,88;0,8;0,477;0,7165;0;0,097;0;0;0;0;0;0;0;-62,03;-9,22;0;0;0;0;0;0;0;0;7,09;2463;0;0;1;;;Clorurada;0;-999;-73,52913436;5,062897055
312;1407;4,55038821;-73,91715984;10/11/2016;0,121;32,1;;0;363,804;14,68;7,13;655,7;298,2;363,804;0;396;0;49,5665;13,6506;-999;59,48;12,096;1,664;72,04;7,658;-999;0,1435;-999;13,46;28,84;0,2;0,1755;0,6436;0;-999;0;0;0;0;0;0;0;-79,28;-11,39;0;0;0;0;0;0;0;0;7,13;655,7;0;0;1;;;Bicarbonatada;0;-999;-73,91715985;4,550388206
313;1408;4,54876082;-73,91880927;10/11/2016;0,108;22,6;;0;429,806;10,87;7,2;693,3;352,3;429,806;0;403;0;32,4158;10,6083;-999;61,34;25,08;1,719;59,76;8,528;-999;0,154;-999;7,196;15,42;0,2;0,1119;0,5114;0;-999;0;0;0;0;0;0;0;-72,09;-10,44;0;0;0;0;0;0;0;0;7,2;693,3;0;0;1;;;Bicarbonatada;0;-999;-73,91880928;4,548760816
314;1421;5,09884864;-73,64553891;5/7/2016;3;45,9;;0;52,46;0;6,68;101,1;43;52,5;0;56;0;1,4232;3,8609;0,376;6,158;1,5366;-999;10,25;3,014;1,998;0,6069;-999;10,6;22,6;-999;-999;0,1827;0;-999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,68;101,1;0;0;1;;;;0;-999;-73,64553891;5,098848642
315;1425;4,70737625;-74,08020291;7/9/2016;0;23,5;;0;98,942;0;6,25;228,2;81;98,942;0;82;0;12,0812;2,1499;-999;6,496;3,424;-999;8,488;1,2058;29,24;1,503;-999;6,415;13,72;-999;-999;0,2304;0;0,0507;0;0;0;0;0;0;0;-62,43;-9,33;0;0;0;0;0;0;0;0;6,25;228,2;0;0;1;;;;0;-999;-74,08020291;4,707376252
316;1243;2,13709572;-75,88547446;6/2/2013;4;27,6;Moderado;0;297,68;4,35;7,24;553;244;297,68;0;0;33,8;5,263915422;44,24373911;-999;91,5;9,7;0,3362;12,7;2,3;-999;-999;-999;8,083;17,32071429;-999;-999;1,009578551;0;-999;0;0;0;0;0;0;0;-53,06335149;-9,410295961;0;0;0;0;0;0;0;0;7,24;553;0;0;1;;;Bicarbonatada;0;-999;-75,88547446;2,137095716
317;1200;5,60371171;-77,4384463;4/4/2013;2;34,1;;41;181;0;9,1;665;216;181;41;418;0;86,32205312;1,545485171;0,401587714;1,240888889;-999;-999;133;1,40825;-999;0,784458333;-999;29,2675;63;-999;0,096;2,398844082;0;-999;0;0;0;-999;-999;0;0;-49,38;-8,69;0;0;0;0;0;0;0;0;8,98;665;0;0;1;;;Bicarbonatada;0;-999;-77,4384463;5,603711711
318;1481;3,28969142;-75,02726273;3/11/2011;1;51,5;Leve;0;353,8;0;7,23;1179;432;353,8;0;558;650;201;20;0,96;54,2;4,92;0;170;9,58;-999;0,123;-999;19;40,71;0;-999;3,92;0,363;-999;0;0;0;0;0;0;0;-52,31789;-8,249733;0;0;0;0;0;0;0;0;7,23;1179;0;0;1;;;Bicarbonatada;0;-999;-75,02726273;3,289691419
319;1461;5,70713724;-73,09937784;7/5/2018;0;22,9;;0;30;0;6,55;80,31;0;30;0;76,99;110;4,7894;6,1442;0,5283;3,2;0,8;0;9,8;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,55;80,31;0;0;0;;;;0;0,2779;-73,09937784;5,707137241
320;1482;5,30488742;-73,1643772;5/6/2009;0;53,9;;0;263;0;6,48;436;215,574;263;0;0;0;19;0,2;0;9;0,5;0;88;5;0,4;0;0;17,3;37;-999;-999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,48;436;0;0;1;;;Bicarbonatada;0;0;-73,1643772;5,304887416
